"","DP","DPNOM","DPMP","MPIO","pop10","hommun10","hrate10","sur10","pop11","hommun11","hrate11","sur11","pop12","hommun12","hrate12","sur12","pop13","hommun13","hrate13","sur13","pop14","hommun14","hrate14","sur14","pop15","hommun15","hrate15","sur15","pop16","hommun16","hrate16","sur16","pop17","hommun17","hrate17","sur17","pop18","hommun18","hrate18","sur18"
"31",5,"Antioquia",5145000,"Caramanta",5441,0,0,10000,5433,0,0,10000,5410,1,1.84842883548983,9998.15157116451,5395,3,5.56070435588508,9994.43929564412,5370,1,1.86219739292365,9998.13780260708,5362,2,3.72995151063036,9996.27004848937,5340,0,0,10000,5321,1,1.87934598759632,9998.1206540124,5308,0,0,10000
"32",5,"Antioquia",5147000,"Carepa",49132,16,3.25653342017422,9996.74346657983,50408,16,3.17409934930963,9996.82590065069,51710,18,3.48095146006575,9996.51904853993,53048,13,2.4506107676067,9997.54938923239,54405,13,2.389486260454,9997.61051373955,55788,8,1.43400014340001,9998.5659998566,57220,19,3.32051730164278,9996.67948269836,58667,26,4.43179300117613,9995.56820699882,60141,26,4.32317387472772,9995.67682612527
"33",5,"Antioquia",5148000,"El Carmen de Viboral",43825,7,1.59726183685111,9998.40273816315,44403,14,3.15294011665878,9996.84705988334,44992,11,2.44487908961593,9997.55512091038,45578,19,4.16867787090263,9995.8313221291,46166,11,2.38270588744964,9997.61729411255,46751,11,2.3528908472546,9997.64710915275,47340,10,2.11237853823405,9997.88762146177,47915,14,2.9218407596786,9997.07815924032,48498,13,2.68052290816116,9997.31947709184
"34",5,"Antioquia",5150000,"Carolina",3802,0,0,10000,3760,0,0,10000,3734,3,8.03427959292983,9991.96572040707,3696,2,5.41125541125541,9994.58874458874,3652,1,2.73822562979189,9997.26177437021,3629,1,2.75558004960044,9997.2444199504,3583,2,5.58191459670667,9994.41808540329,3552,1,2.81531531531532,9997.18468468468,3512,0,0,10000
"35",5,"Antioquia",5154000,"Caucasia",99297,114,11.4807093869905,9988.51929061301,101788,38,3.73324949895862,9996.26675050104,104318,27,2.58823980521099,9997.41176019479,106887,55,5.14562107646393,9994.85437892354,109511,57,5.20495657970432,9994.7950434203,112168,45,4.01183938378147,9995.98816061622,114902,37,3.220135419749,9996.77986458025,117670,53,4.50412169626923,9995.49587830373,120479,153,12.6993085931988,9987.3006914068
"36",5,"Antioquia",5172000,"Chigorodó",67103,54,8.04733022368598,9991.95266977631,68852,49,7.11671411142741,9992.88328588857,70648,43,6.08651341863889,9993.91348658136,72453,22,3.03645121665079,9996.96354878335,74309,20,2.69146402185469,9997.30853597815,76202,14,1.83722212015433,9998.16277787985,78148,26,3.32702052515739,9996.67297947484,80132,37,4.61738132082065,9995.38261867918,82151,42,5.1125366702779,9994.88746332972
"37",5,"Antioquia",5190000,"Cisneros",9375,13,13.8666666666667,9986.13333333333,9315,7,7.51476113794954,9992.48523886205,9247,6,6.48859089434411,9993.51140910566,9191,6,6.52812534000653,9993.47187465999,9121,9,9.867339107554,9990.13266089245,9058,9,9.93596820490174,9990.0640317951,8998,6,6.66814847743943,9993.33185152256,8932,4,4.47828034034931,9995.52171965965,8869,8,9.02018265869884,9990.9798173413
"38",5,"Antioquia",5197000,"Cocorná",15041,2,1.32969882321654,9998.67030117678,15035,5,3.3255736614566,9996.67442633854,15013,2,1.33217877839206,9998.66782122161,15010,5,3.3311125916056,9996.66888740839,14981,8,5.34009745677859,9994.65990254322,14972,5,3.3395671920919,9996.66043280791,14964,5,3.34135257952419,9996.65864742048,14945,1,0.669120107059217,9999.33087989294,14924,7,4.69043151969981,9995.3095684803
"39",5,"Antioquia",5206000,"Concepción",3958,1,2.52652854977261,9997.47347145023,3851,0,0,10000,3756,3,7.98722044728435,9992.01277955272,3659,1,2.73298715496037,9997.26701284504,3567,2,5.60695262125035,9994.39304737875,3463,0,0,10000,3375,1,2.96296296296296,9997.03703703704,3284,1,3.04506699147381,9996.95493300853,3194,0,0,10000
"40",5,"Antioquia",5209000,"Concordia",21068,4,1.89861401177141,9998.10138598823,20998,5,2.38117915991999,9997.61882084008,20922,9,4.30169199885288,9995.69830800115,20843,9,4.31799644964736,9995.68200355035,20747,12,5.78396876656866,9994.21603123343,20653,7,3.3893381106861,9996.61066188931,20565,13,6.32141988815949,9993.67858011184,20476,6,2.93025981637039,9997.06974018363,20371,4,1.96357567129743,9998.0364243287
"41",5,"Antioquia",5212000,"Copacabana",65773,28,4.25706596931872,9995.74293403068,66665,17,2.55006375159379,9997.44993624841,67549,27,3.99709840264105,9996.00290159736,68434,25,3.65315486454102,9996.34684513546,69302,33,4.76176733716199,9995.23823266284,70169,23,3.27780073821773,9996.72219926178,71035,21,2.95628915323432,9997.04371084676,71885,17,2.36488836335814,9997.63511163664,72735,19,2.61222245136454,9997.38777754864
"42",5,"Antioquia",5234000,"Dabeiba",23795,6,2.52153813826434,9997.47846186174,23722,8,3.37239693111879,9996.62760306888,23643,7,2.9607071860593,9997.03929281394,23560,9,3.82003395585739,9996.17996604414,23472,3,1.27811860940695,9998.72188139059,23378,8,3.42202070322525,9996.57797929678,23280,6,2.57731958762887,9997.42268041237,23176,11,4.74628926475665,9995.25371073524,23068,8,3.46800762961678,9996.53199237038
"43",5,"Antioquia",5237000,"Don Matías",19908,6,3.01386377335744,9996.98613622664,20371,9,4.41804526041922,9995.58195473958,20828,10,4.80122911465335,9995.19877088535,21295,5,2.34796900680911,9997.65203099319,21768,3,1.37816979051819,9998.62183020948,22243,4,1.79831857213505,9998.20168142786,22726,10,4.40024641379917,9995.5997535862,23209,3,1.29260200784179,9998.70739799216,23709,7,2.95246530853262,9997.04753469147
"44",5,"Antioquia",5240000,"Ebéjico",12520,3,2.3961661341853,9997.60383386581,12515,6,4.79424690371554,9995.20575309628,12516,4,3.19590923617769,9996.80409076382,12526,3,2.39501836180744,9997.60498163819,12522,8,6.38875578980993,9993.61124421019,12515,2,1.59808230123851,9998.40191769876,12510,6,4.79616306954436,9995.20383693046,12507,8,6.39641800591669,9993.60358199408,12489,2,1.60140924013132,9998.39859075987
"45",5,"Antioquia",5250000,"El Bagre",47875,23,4.80417754569191,9995.19582245431,48211,14,2.9039015992201,9997.09609840078,48568,21,4.32383462362049,9995.67616537638,48914,39,7.97317741341947,9992.02682258658,49248,49,9.94964262508122,9990.05035737492,49583,44,8.87400923703689,9991.12599076296,49913,38,7.61324704986677,9992.38675295013,50242,11,2.18940328808567,9997.81059671191,50557,46,9.09864113772574,9990.90135886227
"46",5,"Antioquia",5264000,"Entrerrios",9209,1,1.08589423390162,9998.9141057661,9356,0,0,10000,9501,2,2.1050415745711,9997.89495842543,9654,1,1.03584006629376,9998.96415993371,9807,8,8.15743856429081,9991.84256143571,9950,4,4.02010050251256,9995.97989949749,10102,8,7.91922391605623,9992.08077608394,10248,6,5.85480093676815,9994.14519906323,10404,1,0.961168781237985,9999.03883121876
"47",5,"Antioquia",5266000,"Envigado",197493,34,1.72158000536728,9998.27841999463,202354,29,1.43313203593702,9998.56686796406,207290,39,1.88142216218824,9998.11857783781,212283,28,1.31899398444529,9998.68100601555,217343,24,1.10424536331973,9998.89575463668,222455,12,0.539434941898361,9999.4605650581,227644,18,0.79070829892288,9999.20929170108,232903,10,0.429363297166632,9999.57063670283,238221,17,0.713623064297438,9999.2863769357
"48",5,"Antioquia",5282000,"Fredonia",22169,2,0.902160674816185,9999.09783932518,22055,9,4.08070732260258,9995.9192926774,21936,8,3.64697301239971,9996.3530269876,21817,14,6.41701425493881,9993.58298574506,21688,9,4.14976023607525,9995.85023976392,21561,14,6.49320532442837,9993.50679467557,21426,17,7.93428544758704,9992.06571455241,21283,14,6.57802001597519,9993.42197998402,21142,19,8.98685081827642,9991.01314918172
